Function,Concentration,Predicted
1,19199.2,0.0125873
1,19219.2,0.0125743
1,19239.2,0.0125612
1,19259.3,0.0125483
1,19279.3,0.0125353
1,19299.3,0.0125224
1,19319.3,0.0125095
1,19339.3,0.0124966
1,19359.4,0.0124837
1,19379.4,0.0124709
1,19399.4,0.0124581
1,19419.4,0.0124453
1,19439.4,0.0124326
1,19459.5,0.0124199
1,19479.5,0.0124072
1,19499.5,0.0123945
1,19519.5,0.0123819
1,19539.5,0.0123692
1,19559.6,0.0123567
1,19579.6,0.0123441
1,19599.6,0.0123316
1,19619.6,0.012319
1,19639.6,0.0123065
1,19659.7,0.0122941
1,19679.7,0.0122816
1,19699.7,0.0122692
1,19719.7,0.0122568
1,19739.7,0.0122445
1,19759.8,0.0122321
1,19779.8,0.0122198
1,19799.8,0.0122075
1,19819.8,0.0121953
1,19839.8,0.012183
1,19859.9,0.0121708
1,19879.9,0.0121586
1,19899.9,0.0121465
1,19919.9,0.0121343
1,19939.9,0.0121222
1,19960,0.0121101
1,19980,0.012098
1,20000,0.012086
2,0,1.29278
2,20.02,0.81758
2,40.04,0.761694
2,60.0601,0.715429
2,80.0801,0.675029
2,100.1,0.639155
2,120.12,0.606995
2,140.14,0.577965
2,160.16,0.551612
2,180.18,0.527575
2,200.2,0.505557
2,220.22,0.48531
2,240.24,0.466627
2,260.26,0.449333
2,280.28,0.433278
2,300.3,0.418333
2,320.32,0.404385
2,340.34,0.391339
2,360.36,0.37911
2,380.38,0.367622
2,400.4,0.356811
2,420.42,0.346617
2,440.44,0.336991
2,460.46,0.327885
2,480.48,0.319258
2,500.501,0.311074
2,520.521,0.303299
2,540.541,0.295904
2,560.561,0.28886
2,580.581,0.282145
2,600.601,0.275734
2,620.621,0.269609
2,640.641,0.26375
2,660.661,0.25814
2,680.681,0.252763
2,700.701,0.247607
2,720.721,0.242656
2,740.741,0.2379
2,760.761,0.233326
2,780.781,0.228926
2,800.801,0.224688
2,820.821,0.220604
2,840.841,0.216666
2,860.861,0.212866
2,880.881,0.209197
2,900.901,0.205652
2,920.921,0.202226
2,940.941,0.198912
2,960.961,0.195705
2,980.981,0.192599
2,1001,0.189591
2,1021.02,0.186675
2,1041.04,0.183848
2,1061.06,0.181104
2,1081.08,0.178442
2,1101.1,0.175857
2,1121.12,0.173345
2,1141.14,0.170904
2,1161.16,0.168531
2,1181.18,0.166224
2,1201.2,0.163978
2,1221.22,0.161792
2,1241.24,0.159664
2,1261.26,0.157591
2,1281.28,0.155571
2,1301.3,0.153603
2,1321.32,0.151683
2,1341.34,0.149811
2,1361.36,0.147985
2,1381.38,0.146202
2,1401.4,0.144462
2,1421.42,0.142763
2,1441.44,0.141103
2,1461.46,0.139482
2,1481.48,0.137897
2,1501.5,0.136348
2,1521.52,0.134834
2,1541.54,0.133353
2,1561.56,0.131903
2,1581.58,0.130485
2,1601.6,0.129098
2,1621.62,0.127739
2,1641.64,0.126409
2,1661.66,0.125106
2,1681.68,0.12383
2,1701.7,0.122579
2,1721.72,0.121354
2,1741.74,0.120152
2,1761.76,0.118975
2,1781.78,0.11782
2,1801.8,0.116687
2,1821.82,0.115576
2,1841.84,0.114486
2,1861.86,0.113417
2,1881.88,0.112367
2,1901.9,0.111336
2,1921.92,0.110324
2,1941.94,0.10933
2,1961.96,0.108354
