Function,Concentration,Predicted
2,1621.62,0.0912422
2,1641.64,0.090292
2,1661.66,0.0893614
2,1681.68,0.0884498
2,1701.7,0.0875566
2,1721.72,0.0866812
2,1741.74,0.0858232
2,1761.76,0.084982
2,1781.78,0.0841571
2,1801.8,0.0833481
2,1821.82,0.0825545
2,1841.84,0.0817759
2,1861.86,0.0810118
2,1881.88,0.0802619
2,1901.9,0.0795257
2,1921.92,0.0788029
2,1941.94,0.0780931
2,1961.96,0.077396
2,1981.98,0.0767112
2,2002,0.0760385
2,2022.02,0.0753774
2,2042.04,0.0747278
2,2062.06,0.0740892
2,2082.08,0.0734615
2,2102.1,0.0728443
2,2122.12,0.0722374
2,2142.14,0.0716405
2,2162.16,0.0710534
2,2182.18,0.0704759
2,2202.2,0.0699076
2,2222.22,0.0693485
2,2242.24,0.0687982
2,2262.26,0.0682566
2,2282.28,0.0677234
2,2302.3,0.0671986
2,2322.32,0.0666818
2,2342.34,0.0661728
2,2362.36,0.0656716
2,2382.38,0.0651779
2,2402.4,0.0646916
2,2422.42,0.0642125
2,2442.44,0.0637405
2,2462.46,0.0632753
2,2482.48,0.0628169
2,2502.5,0.062365
2,2522.52,0.0619197
2,2542.54,0.0614806
2,2562.56,0.0610477
2,2582.58,0.0606209
2,2602.6,0.0602
2,2622.62,0.0597849
2,2642.64,0.0593755
2,2662.66,0.0589716
2,2682.68,0.0585732
2,2702.7,0.0581802
2,2722.72,0.0577924
2,2742.74,0.0574097
2,2762.76,0.0570321
2,2782.78,0.0566594
2,2802.8,0.0562916
2,2822.82,0.0559285
2,2842.84,0.05557
2,2862.86,0.0552161
2,2882.88,0.0548667
2,2902.9,0.0545217
2,2922.92,0.054181
2,2942.94,0.0538445
2,2962.96,0.0535122
2,2982.98,0.0531839
2,3003,0.0528597
2,3023.02,0.0525394
2,3043.04,0.0522229
2,3063.06,0.0519103
2,3083.08,0.0516013
2,3103.1,0.0512961
2,3123.12,0.0509944
2,3143.14,0.0506962
2,3163.16,0.0504015
2,3183.18,0.0501102
2,3203.2,0.0498223
2,3223.22,0.0495376
2,3243.24,0.0492562
2,3263.26,0.0489779
2,3283.28,0.0487028
2,3303.3,0.0484308
2,3323.32,0.0481618
2,3343.34,0.0478957
2,3363.36,0.0476326
2,3383.38,0.0473723
